"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","AGEGROUP (CODE)","AGEGROUP (DISPLAY)","AGEGROUP (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","AGE25-29","25-29 years","","FMLE","Female","","48.6","48.60000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","AGE15-19","15-19  years","","FMLE","Female","","28.7","28.70000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","AGE45-49","45-49 years","","FMLE","Female","","51.9","51.90000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","AGE15-49","15-49 years","","FMLE","Female","","46.1","46.10000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","AGE20-24","20-24 years","","FMLE","Female","","41.1","41.10000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","AGE35-39","35-39 years","","FMLE","Female","","49.1","49.10000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","AGE30-34","30-34 years","","FMLE","Female","","49.3","49.30000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","AGE40-44","40-44 years","","FMLE","Female","","45.2","45.20000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","AFR","Africa","","AGO","Angola","","AGE35-39","35-39 years","","FMLE","Female","","24.8","24.80000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","AFR","Africa","","AGO","Angola","","AGE20-24","20-24 years","","FMLE","Female","","32.9","32.90000","","","","","DHS "
