State,UntestedKits
Alaska,1506
Arizona,6424
Arkansas,370
California,13615
Delaware,1033
Georgia,10314
Hawaii, 1951 
Idaho, 1116 
Indiana, 4980 
Iowa, 4265 
Kansas, 2220 
Louisiana, 1133 
Maryland, 6000 
Michigan, 1177 
Minnesota, 3482 
Missouri, 5424 
Nevada,523
New Hampshire,582
New Mexico, 5302 
New York, 1981 
North Carolina, 15160 
North Dakota,500
Oklahoma, 7270 
South Carolina, 1800 
South Dakota,350
Texas, 2138 
Utah, 1376 
Vermont,58
Virginia, 2369 
Washington, 4489 
West Virginia, 2400 
Wisconsin, 6837 
